Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,total,MutatedSamples,AlteredSamples
IL5RA,0,0,0,0,5,0,0,0,0,5,5,5
IL7R,0,0,0,0,5,0,0,0,0,5,5,5
ILF3,0,0,0,0,5,0,0,0,0,5,5,5
ING1,0,0,0,0,5,0,0,0,0,5,5,5
INMT,0,0,0,0,4,1,0,0,0,5,5,5
INPP4B,0,0,0,0,5,0,0,0,0,5,5,5
IQCA1,0,0,0,0,4,1,0,0,0,5,5,5
IQSEC3,0,0,0,0,5,0,0,0,0,5,5,5
ISLR,0,0,0,0,4,1,0,0,0,5,5,5
ITCH,0,0,0,0,5,0,0,0,0,5,5,5
ITGB8,0,0,0,0,5,0,0,0,0,5,5,5
ITIH3,0,0,0,0,5,0,0,0,0,5,5,5
ITIH4,0,0,0,0,4,0,0,1,0,5,5,5
ITIH5,0,0,0,0,5,0,0,0,0,5,5,5
ITM2A,0,0,0,0,4,1,0,0,0,5,5,5
ITPRID1,0,0,0,0,4,1,0,0,0,5,5,5
IVNS1ABP,1,0,0,0,3,1,0,0,0,5,5,5
IWS1,1,0,0,0,1,3,0,0,0,5,5,5
JAKMIP3,0,0,0,0,5,0,0,0,0,5,5,5
KANK4,0,0,0,0,4,1,0,0,0,5,5,5
KAT8,0,0,1,0,4,0,0,0,0,5,5,5
KATNB1,1,0,0,0,3,0,0,1,0,5,5,5
KBTBD4,2,0,0,0,2,1,0,0,0,5,5,5
KCNA2,0,0,1,0,4,0,0,0,0,5,5,5
KCNAB1,0,0,0,0,5,0,0,0,0,5,5,5
KCNC2,0,0,0,0,4,1,0,0,0,5,5,5
KCNG4,0,0,0,0,4,1,0,0,0,5,5,5
KCNH5,0,0,0,0,5,0,0,0,0,5,5,5
KCNK13,0,0,0,0,4,1,0,0,0,5,5,5
KCNQ4,0,0,0,0,5,0,0,0,0,5,5,5
KCTD21,0,0,0,0,4,1,0,0,0,5,5,5
KDM6B,0,0,0,0,5,0,0,0,0,5,5,5
KIAA0408,1,0,0,0,4,0,0,0,0,5,5,5
KIAA0586,1,0,0,0,4,0,0,0,0,5,5,5
KIAA1586,1,0,0,0,2,2,0,0,0,5,5,5
KIAA1755,0,0,0,0,5,0,0,0,0,5,5,5
KIAA1841,0,0,1,0,3,1,0,0,0,5,5,5
KIF18A,0,0,0,0,5,0,0,0,0,5,5,5
KIFBP,0,0,1,0,4,0,0,0,0,5,5,5
KIR3DL1,0,0,0,0,4,0,0,1,0,5,5,5
KIR3DL3,0,0,0,0,5,0,0,0,0,5,5,5
KIRREL2,0,0,0,0,4,1,0,0,0,5,5,5
KLC2,1,0,0,0,4,0,0,0,0,5,5,5
KLC4,1,0,0,0,4,0,0,0,0,5,5,5
KLHL12,2,0,0,0,3,0,0,0,0,5,5,5
KLK15,0,0,0,0,5,0,0,0,0,5,5,5
KPNA5,0,0,0,0,4,1,0,0,0,5,5,5
KPNB1,0,0,0,0,5,0,0,0,0,5,5,5
KRT1,0,0,0,0,5,0,0,0,0,5,5,5
KRT28,0,0,0,0,5,0,0,0,0,5,5,5
KRT34,0,0,0,0,3,1,1,0,0,5,5,5
KRT9,0,0,0,0,4,0,0,1,0,5,5,5
KSR2,1,0,0,0,4,0,0,0,0,5,5,5
LAMC3,1,0,0,0,4,0,0,0,0,5,5,5
LANCL2,0,0,0,0,4,0,0,1,0,5,5,5
LCP1,0,0,0,0,5,0,0,0,0,5,5,5
LCTL,0,0,0,0,4,1,0,0,0,5,5,5
LDHC,0,0,0,0,5,0,0,0,0,5,5,5
LGR5,0,0,0,0,3,0,0,2,0,5,5,5
LHX4,0,0,0,0,5,0,0,0,0,5,5,5
LILRB1,0,0,0,0,4,1,0,0,0,5,5,5
LILRB5,0,0,0,0,4,0,0,1,0,5,5,5
LIN54,0,0,0,0,5,0,0,0,0,5,5,5
LONRF3,0,0,0,0,5,0,0,0,0,5,5,5
LPGAT1,0,1,0,0,4,0,0,0,0,5,5,5
LPIN2,1,0,0,0,3,1,0,0,0,5,5,5
LPP,0,0,0,0,5,0,0,0,0,5,5,5
LRFN2,1,0,0,0,4,0,0,0,0,5,5,5
LRIG3,0,0,0,0,4,1,0,0,0,5,5,5
LRR1,0,0,0,0,4,1,0,0,0,5,5,5
LRRC27,0,0,0,0,5,0,0,0,0,5,5,5
LRRIQ4,0,0,0,0,4,1,0,0,0,5,5,5
LRRN2,0,0,2,0,3,0,0,0,0,5,5,5
LUZP4,0,0,0,0,5,0,0,0,0,5,5,5
LYSMD1,0,0,0,0,5,0,0,0,0,5,5,5
MAD1L1,0,0,0,0,5,0,0,0,0,5,5,5
MAGEB10,0,0,0,0,5,0,0,0,0,5,5,5
MAIP1,0,0,0,0,5,0,0,0,0,5,5,5
MAK,1,0,0,0,4,0,0,0,0,5,5,5
MAN1B1,0,0,0,0,5,0,0,0,0,5,5,5
MAP3K21,0,0,0,0,5,0,0,0,0,5,5,5
MAP3K9,0,0,0,0,5,0,0,0,0,5,5,5
MAP6,0,0,0,0,5,0,0,0,0,5,5,5
MAPK6,0,0,0,0,4,1,0,0,0,5,5,5
MAPRE3,0,1,0,0,3,1,0,0,0,5,5,5
MAPT,0,0,0,0,5,0,0,0,0,5,5,5
MAST2,0,0,0,0,5,0,0,0,0,5,5,5
MBTPS2,0,0,0,0,5,0,0,0,0,5,5,5
MCC,0,0,0,0,4,1,0,0,0,5,5,5
MCHR2,0,0,0,0,5,0,0,0,0,5,5,5
MCOLN1,0,0,0,0,5,0,0,0,0,5,5,5
ME3,0,0,0,0,5,0,0,0,0,5,5,5
MECP2,0,0,0,0,5,0,0,0,0,5,5,5
MED16,1,0,0,0,4,0,0,0,0,5,5,5
MEGF11,0,0,0,0,5,0,0,0,0,5,5,5
MFAP5,0,0,0,0,4,1,0,0,0,5,5,5
MFN1,0,0,0,0,4,0,0,1,0,5,5,5
MICU1,1,0,0,0,3,1,0,0,0,5,5,5
MMAA,0,0,0,0,5,0,0,0,0,5,5,5
MMP16,0,0,0,0,5,0,0,0,0,5,5,5
MMUT,0,0,0,0,4,0,0,1,0,5,5,5
MORC2,0,0,0,0,5,0,0,0,0,5,5,5
MORN1,0,0,0,0,4,1,0,0,0,5,5,5
MPP1,0,0,0,0,5,0,0,0,0,5,5,5
MRE11,0,0,0,0,5,0,0,0,0,5,5,5
MRGPRX4,0,0,0,0,5,0,0,0,0,5,5,5
MROH9,0,0,0,0,3,1,0,1,0,5,5,5
MRPL2,0,0,0,0,5,0,0,0,0,5,5,5
MTMR12,0,0,1,0,4,0,0,0,0,5,5,5
MTMR3,1,0,0,0,4,0,0,0,0,5,5,5
MTMR8,0,0,0,0,5,0,0,0,0,5,5,5
MTMR9,1,1,0,0,3,0,0,0,0,5,5,5
MUC7,0,0,0,0,5,0,0,0,0,5,5,5
MX1,0,0,0,0,4,1,0,0,0,5,5,5
MYBL2,1,0,0,0,4,0,0,0,0,5,5,5
MYEF2,0,0,0,0,3,2,0,0,0,5,5,5
MYH3,0,0,0,0,5,0,0,0,0,5,5,5
MYO1B,0,0,0,0,4,0,0,1,0,5,5,5
MYO1E,0,0,0,0,4,0,0,1,0,5,5,5
NAA15,1,0,0,0,4,0,0,0,0,5,5,5
NAA16,0,0,0,0,5,0,0,0,0,5,5,5
NAA25,1,0,0,0,3,1,0,0,0,5,5,5
NAALADL1,1,0,0,0,3,0,0,1,0,5,5,5
NARF,0,0,0,0,5,0,0,0,0,5,5,5
NASP,1,0,0,0,3,0,0,1,0,5,5,5
NBN,0,0,0,0,5,0,0,0,0,5,5,5
NCKIPSD,0,0,0,0,5,0,0,0,0,5,5,5
NDST3,0,0,0,0,5,0,0,0,0,5,5,5
NECTIN3,0,0,0,0,5,0,0,0,0,5,5,5
NEFH,0,0,1,0,4,0,0,0,0,5,5,5
NEK1,1,0,0,0,3,1,0,0,0,5,5,5
NEK9,0,0,0,0,4,1,0,0,0,5,5,5
NEO1,0,0,0,0,4,0,0,1,0,5,5,5
NEURL4,1,0,0,0,4,0,0,0,0,5,5,5
NFAT5,0,1,0,0,4,0,0,0,0,5,5,5
NFKB1,0,0,0,0,4,0,0,1,0,5,5,5
NHLRC2,0,0,1,0,4,0,0,0,0,5,5,5
NHSL2,1,0,0,0,4,0,0,0,0,5,5,5
NKAPL,0,0,0,0,5,0,0,0,0,5,5,5
NKRF,0,0,0,0,5,0,0,0,0,5,5,5
NLGN2,0,0,0,0,5,0,0,0,0,5,5,5
NLRP8,0,0,0,0,5,0,0,0,0,5,5,5
NLRX1,0,0,0,0,4,1,0,0,0,5,5,5
NMBR,0,0,0,0,5,0,0,0,0,5,5,5
NME7,0,0,0,0,5,0,0,0,0,5,5,5
NNT,1,0,0,0,4,0,0,0,0,5,5,5
NOC3L,0,0,0,0,4,0,0,1,0,5,5,5
NOD1,0,0,0,0,5,0,0,0,0,5,5,5
NOL11,0,0,0,0,4,0,0,0,1,5,5,5
NOS1AP,0,0,0,0,5,0,0,0,0,5,5,5
NR1H2,1,0,0,0,4,0,0,0,0,5,5,5
NR1H4,0,0,0,0,5,0,0,0,0,5,5,5
NR4A2,2,0,0,0,2,1,0,0,0,5,5,5
NRBP1,2,0,0,0,2,0,0,1,0,5,5,5
NSDHL,0,1,0,0,3,1,0,0,0,5,5,5
NT5C1B,0,0,0,0,4,1,0,0,0,5,5,5
NT5DC3,0,0,0,0,3,1,0,1,0,5,5,5
NUMB,0,0,0,0,5,0,0,0,0,5,5,5
NUP133,0,0,0,0,5,0,0,0,0,5,5,5
NUP62,0,1,0,0,2,1,0,0,1,5,5,5
OCRL,0,0,0,0,5,0,0,0,0,5,5,5
OGA,0,0,0,0,5,0,0,0,0,5,5,5
OR10K1,0,0,0,0,4,1,0,0,0,5,5,5
OR13G1,0,0,0,0,5,0,0,0,0,5,5,5
OR14A16,0,0,0,0,5,0,0,0,0,5,5,5
OR2L13,0,0,0,0,5,0,0,0,0,5,5,5
OR2T10,0,0,0,0,5,0,0,0,0,5,5,5
OR2T27,0,0,0,0,5,0,0,0,0,5,5,5
OR4B1,1,0,0,0,4,0,0,0,0,5,5,5
OR4K5,1,0,0,0,4,0,0,0,0,5,5,5
OR4N2,0,0,0,0,4,1,0,0,0,5,5,5
OR4S2,0,0,0,0,4,1,0,0,0,5,5,5
OR51Q1,0,0,0,0,5,0,0,0,0,5,5,5
OR52K2,0,0,0,0,5,0,0,0,0,5,5,5
OR5D13,0,0,0,0,4,1,0,0,0,5,5,5
OR5D16,0,0,0,0,5,0,0,0,0,5,5,5
OR5H6,0,0,0,0,5,0,0,0,0,5,5,5
OR5J2,0,1,0,0,4,0,0,0,0,5,5,5
OR5L2,0,0,0,0,5,0,0,0,0,5,5,5
OR5M1,0,0,0,0,5,0,0,0,0,5,5,5
OR6S1,0,0,0,0,5,0,0,0,0,5,5,5
OR6X1,0,0,0,0,4,1,0,0,0,5,5,5
OR7A5,0,0,0,0,5,0,0,0,0,5,5,5
OR8D4,0,0,0,0,4,1,0,0,0,5,5,5
OR8H2,0,0,0,0,5,0,0,0,0,5,5,5
OR9G1,0,0,0,0,5,0,0,0,0,5,5,5
OR9G4,1,0,0,0,4,0,0,0,0,5,5,5
OSBPL10,0,0,0,0,4,1,0,0,0,5,5,5
OSBPL9,0,0,0,0,4,1,0,0,0,5,5,5
OTOP2,0,0,0,0,4,0,0,1,0,5,5,5
OTOP3,1,0,0,0,4,0,0,0,0,5,5,5
OTUD4,0,0,0,0,4,1,0,0,0,5,5,5
OVGP1,0,0,0,0,5,0,0,0,0,5,5,5
PABPC4,0,0,1,0,4,0,0,0,0,5,5,5
PACS1,0,0,0,0,5,0,0,0,0,5,5,5
PADI2,1,0,0,0,4,0,0,0,0,5,5,5
PADI3,0,0,0,0,5,0,0,0,0,5,5,5
PAK5,0,1,0,0,4,0,0,0,0,5,5,5
PALB2,0,0,0,0,4,1,0,0,0,5,5,5
PALD1,0,0,0,0,5,0,0,0,0,5,5,5
PAMR1,0,0,0,0,5,0,0,0,0,5,5,5
PARD3,0,0,0,0,4,1,0,0,0,5,5,5
PAX5,1,0,0,0,4,0,0,0,0,5,5,5
PBDC1,0,0,0,0,4,1,0,0,0,5,5,5
PCDH12,0,0,0,0,5,0,0,0,0,5,5,5
PCDHB11,1,0,0,0,4,0,0,0,0,5,5,5
PCDHGA4,0,0,0,0,5,0,0,0,0,5,5,5
PCDHGB3,0,0,0,0,5,0,0,0,0,5,5,5
PCDHGC3,0,0,0,0,5,0,0,0,0,5,5,5
PCDHGC4,0,0,0,1,4,0,0,0,0,5,5,5
PCMTD2,1,0,0,0,3,1,0,0,0,5,5,5
PCOLCE2,0,0,0,0,4,1,0,0,0,5,5,5
PCYOX1,0,0,0,0,4,1,0,0,0,5,5,5
PDCD4,1,0,0,0,4,0,0,0,0,5,5,5
PDK4,0,0,0,0,5,0,0,0,0,5,5,5
PDZD7,0,0,0,0,5,0,0,0,0,5,5,5
PEF1,0,0,0,0,5,0,0,0,0,5,5,5
PFKM,0,0,0,0,3,2,0,0,0,5,5,5
PGK1,0,0,0,0,5,0,0,0,0,5,5,5
PGLYRP3,0,0,0,0,5,0,0,0,0,5,5,5
PHACTR4,1,0,0,0,4,0,0,0,0,5,5,5
PHC3,0,0,0,0,4,1,0,0,0,5,5,5
PHRF1,0,0,1,0,3,1,0,0,0,5,5,5
PI4KB,0,0,0,0,4,1,0,0,0,5,5,5
PIGQ,0,0,0,0,3,2,0,0,0,5,5,5
PIK3CD,0,0,0,0,5,0,0,0,0,5,5,5
PIK3R3,2,0,0,0,3,0,0,0,0,5,5,5
PIWIL4,1,0,0,0,4,0,0,0,0,5,5,5
PKLR,0,0,0,0,5,0,0,0,0,5,5,5
PKNOX2,0,0,0,0,4,1,0,0,0,5,5,5
PLAT,0,0,0,0,5,0,0,0,0,5,5,5
PLCB3,0,0,0,0,3,1,0,1,0,5,5,5
PLCXD2,0,0,0,0,5,0,0,0,0,5,5,5
PLEKHA8,0,0,0,0,4,1,0,0,0,5,5,5
PLEKHH1,1,1,0,0,3,0,0,0,0,5,5,5
PLEKHM1,0,0,0,0,5,0,0,0,0,5,5,5
PLVAP,0,0,0,0,3,1,0,1,0,5,5,5
PMEL,0,0,0,0,5,0,0,0,0,5,5,5
PNLIPRP1,0,0,0,0,4,1,0,0,0,5,5,5
PNMA8A,0,0,0,0,4,1,0,0,0,5,5,5
PNN,1,0,0,0,4,0,0,0,0,5,5,5
POLN,0,0,0,0,5,0,0,0,0,5,5,5
POLRMT,0,0,0,0,5,0,0,0,0,5,5,5
POMT2,0,0,0,0,5,0,0,0,0,5,5,5
PON1,0,0,0,0,4,1,0,0,0,5,5,5
POTEA,1,0,0,0,3,1,0,0,0,5,5,5
POU2F2,0,0,0,0,5,0,0,0,0,5,5,5
PPFIA3,0,0,0,0,5,0,0,0,0,5,5,5
PPFIA4,0,0,0,0,5,0,0,0,0,5,5,5
PPIG,0,0,0,0,5,0,0,0,0,5,5,5
PPM1B,0,0,0,0,4,1,0,0,0,5,5,5
PPP1R12B,1,0,0,0,3,0,0,1,0,5,5,5
PPP1R13B,0,0,0,0,5,0,0,0,0,5,5,5
PPP1R15A,2,0,0,0,3,0,0,0,0,5,5,5
PPP1R15B,0,0,0,0,5,0,0,0,0,5,5,5
PPP1R3F,0,0,0,0,5,0,0,0,0,5,5,5
PPP2CA,2,0,0,0,3,0,0,0,0,5,5,5
PPP2R5B,0,0,0,0,4,1,0,0,0,5,5,5
PPP2R5D,0,0,0,0,5,0,0,0,0,5,5,5
PPP3CA,0,0,0,0,5,0,0,0,0,5,5,5
PRAMEF14,0,0,0,0,5,0,0,0,0,5,5,5
PRDM4,0,0,0,0,4,1,0,0,0,5,5,5
PREP,0,0,0,0,5,0,0,0,0,5,5,5
PRKAA2,0,0,0,0,5,0,0,0,0,5,5,5
PRKACA,0,0,0,0,5,0,0,0,0,5,5,5
PRKAR1A,1,0,0,0,2,2,0,0,0,5,5,5
PRKCA,2,0,0,0,3,0,0,0,0,5,5,5
PRKX,0,0,0,0,5,0,0,0,0,5,5,5
PRMT3,0,0,0,0,4,1,0,0,0,5,5,5
PRMT5,0,0,1,0,4,0,0,0,0,5,5,5
PROM1,1,1,0,0,3,0,0,0,0,5,5,5
PROM2,0,0,1,0,2,0,0,2,0,5,5,5
PRPF38B,1,0,0,0,3,1,0,0,0,5,5,5
PRPF39,0,0,0,0,5,0,0,0,0,5,5,5
PRR12,0,0,0,0,5,0,0,0,0,5,5,5
PRR27,0,0,0,0,4,1,0,0,0,5,5,5
PRUNE1,0,0,0,0,4,0,0,1,0,5,5,5
PSMB5,1,0,0,0,3,1,0,0,0,5,5,5
PSMC5,1,0,0,0,4,0,0,0,0,5,5,5
PSME4,0,0,0,0,4,1,0,0,0,5,5,5
PTCD1,0,1,0,0,4,0,0,0,0,5,5,5
PTPRA,0,0,0,0,5,0,0,0,0,5,5,5
PTPRE,0,0,0,0,5,0,0,0,0,5,5,5
PUM3,0,0,0,0,4,0,0,1,0,5,5,5
PWWP3A,0,0,0,0,5,0,0,0,0,5,5,5
PWWP3B,1,0,0,0,4,0,0,0,0,5,5,5
PXDN,0,1,0,0,4,0,0,0,0,5,5,5
PYGB,0,0,0,0,4,0,0,1,0,5,5,5
RAB11FIP1,0,0,0,0,5,0,0,0,0,5,5,5
RAB40A,0,0,0,0,4,1,0,0,0,5,5,5
RAD17,0,0,0,0,5,0,0,0,0,5,5,5
RAD54L2,0,0,0,0,4,1,0,0,0,5,5,5
RAE1,0,0,0,0,5,0,0,0,0,5,5,5
RAF1,0,0,0,0,4,1,0,0,0,5,5,5
RAG1,0,0,0,0,5,0,0,0,0,5,5,5
RALY,0,0,0,0,5,0,0,0,0,5,5,5
RAPGEF4,0,1,0,0,3,0,0,1,0,5,5,5
RARG,2,0,0,0,3,0,0,0,0,5,5,5
RARS1,0,0,0,0,5,0,0,0,0,5,5,5
RARS2,0,0,0,0,5,0,0,0,0,5,5,5
RASGEF1C,0,0,0,0,5,0,0,0,0,5,5,5
RBAK,0,0,0,0,5,0,0,0,0,5,5,5
RBBP8,1,0,0,0,2,1,0,1,0,5,5,5
RBMX,0,0,0,0,5,0,0,0,0,5,5,5
RBP3,0,0,0,0,4,0,0,1,0,5,5,5
RBPJL,0,0,0,0,4,0,0,1,0,5,5,5
RBSN,0,0,0,0,3,2,0,0,0,5,5,5
RCOR2,0,0,0,0,4,1,0,0,0,5,5,5
RDX,0,0,0,0,5,0,0,0,0,5,5,5
REC8,0,0,0,0,5,0,0,0,0,5,5,5
RECQL,0,0,0,0,4,1,0,0,0,5,5,5
RETSAT,0,0,0,0,4,0,0,1,0,5,5,5
RFX1,0,0,0,0,5,0,0,0,0,5,5,5
RGS20,0,0,0,0,5,0,0,0,0,5,5,5
RGS4,0,0,0,0,3,2,0,0,0,5,5,5
RHOBTB3,1,0,0,0,3,1,0,0,0,5,5,5
RIN1,1,0,0,0,4,0,0,0,0,5,5,5
RLN2,1,0,0,0,4,0,0,0,0,5,5,5
RMI1,0,0,0,0,5,0,0,0,0,5,5,5
RNASEL,0,0,0,0,4,1,0,0,0,5,5,5
RNF123,2,0,0,0,3,0,0,0,0,5,5,5
RNF128,2,0,0,0,3,0,0,0,0,5,5,5
RNF182,0,0,0,0,5,0,0,0,0,5,5,5
RNF207,0,0,0,0,5,0,0,0,0,5,5,5
RNF31,0,0,0,0,3,2,0,0,0,5,5,5
RNF32,0,1,0,0,4,0,0,0,0,5,5,5
RPH3A,0,0,0,0,5,0,0,0,0,5,5,5
RPS6,0,0,0,0,5,0,0,0,0,5,5,5
RPS6KA2,0,0,0,0,3,1,0,1,0,5,5,5
RPS6KB2,0,0,0,0,4,0,0,1,0,5,5,5
RRNAD1,0,0,0,0,5,0,0,0,0,5,5,5
RRP1,0,0,0,0,5,0,0,0,0,5,5,5
RTF2,0,0,0,0,5,0,0,0,0,5,5,5
RTL5,0,0,0,0,4,1,0,0,0,5,5,5
RTN3,0,0,0,0,3,1,0,1,0,5,5,5
RUFY3,0,0,0,0,5,0,0,0,0,5,5,5
RUSC2,2,0,0,0,3,0,0,0,0,5,5,5
RXFP1,1,0,0,0,3,1,0,0,0,5,5,5
RXFP2,1,0,0,0,4,0,0,0,0,5,5,5
SAMD4A,1,0,0,0,4,0,0,0,0,5,5,5
SAMHD1,0,0,0,0,4,1,0,0,0,5,5,5
SARS1,0,1,0,0,4,0,0,0,0,5,5,5
SBNO2,0,0,0,0,5,0,0,0,0,5,5,5
SCFD2,0,0,0,0,4,1,0,0,0,5,5,5
SCML4,0,0,0,0,5,0,0,0,0,5,5,5
SCNN1B,0,0,0,0,4,1,0,0,0,5,5,5
SCRN2,1,0,0,0,3,1,0,0,0,5,5,5
SELL,0,0,0,0,4,1,0,0,0,5,5,5
SERPINA5,1,0,0,0,4,0,0,0,0,5,5,5
SERPINB3,0,0,0,0,5,0,0,0,0,5,5,5
SERPINE1,0,1,0,0,3,0,0,1,0,5,5,5
SEZ6L2,2,0,0,0,3,0,0,0,0,5,5,5
SF3B2,0,0,0,0,4,1,0,0,0,5,5,5
SFI1,1,2,0,0,2,0,0,0,0,5,5,5
SGSM2,0,0,0,0,5,0,0,0,0,5,5,5
SHCBP1L,0,0,0,0,4,1,0,0,0,5,5,5
SHE,0,0,0,0,5,0,0,0,0,5,5,5
SHMT2,1,0,0,0,4,0,0,0,0,5,5,5
SIGLEC10,0,0,0,0,4,1,0,0,0,5,5,5
SIGLEC6,0,1,0,0,4,0,0,0,0,5,5,5
SIGLEC7,0,0,0,0,5,0,0,0,0,5,5,5
SIRPA,0,0,0,0,5,0,0,0,0,5,5,5
SKOR1,1,0,0,0,4,0,0,0,0,5,5,5
SLAMF1,1,0,0,0,4,0,0,0,0,5,5,5
SLC11A1,1,0,0,0,4,0,0,0,0,5,5,5
SLC12A6,0,0,0,0,5,0,0,0,0,5,5,5
SLC12A7,0,0,0,0,5,0,0,0,0,5,5,5
SLC17A6,0,0,0,0,5,0,0,0,0,5,5,5
SLC17A7,0,1,0,0,3,0,0,1,0,5,5,5
SLC18A3,1,0,0,0,4,0,0,0,0,5,5,5
SLC25A13,1,0,0,0,4,0,0,0,0,5,5,5
SLC25A32,0,0,0,0,5,0,0,0,0,5,5,5
SLC25A41,0,1,0,0,3,0,1,0,0,5,5,5
SLC2A9,1,0,0,0,4,0,0,0,0,5,5,5
SLC30A1,0,0,0,0,5,0,0,0,0,5,5,5
SLC34A2,0,0,0,0,5,0,0,0,0,5,5,5
SLC35F1,0,1,0,0,4,0,0,0,0,5,5,5
SLC35F3,0,0,0,0,4,0,0,1,0,5,5,5
SLC38A11,0,0,0,0,5,0,0,0,0,5,5,5
SLC39A7,0,1,0,0,4,0,0,0,0,5,5,5
SLC43A2,0,1,1,0,3,0,0,0,0,5,5,5
SLC45A3,1,0,0,0,3,1,0,0,0,5,5,5
SLC4A1,0,0,0,0,5,0,0,0,0,5,5,5
SLC5A12,0,0,0,0,5,0,0,0,0,5,5,5
SLC5A3,1,0,0,0,4,0,0,0,0,5,5,5
SLC6A6,0,0,0,0,5,0,0,0,0,5,5,5
SLC7A3,0,0,0,0,5,0,0,0,0,5,5,5
SLC7A9,0,0,0,0,5,0,0,0,0,5,5,5
SLCO1B1,0,0,0,0,4,1,0,0,0,5,5,5
SLCO5A1,0,0,0,0,5,0,0,0,0,5,5,5
SLTM,1,0,0,0,4,0,0,0,0,5,5,5
SMC2,0,0,0,0,5,0,0,0,0,5,5,5
SMO,1,0,0,0,4,0,0,0,0,5,5,5
SMURF2,1,0,0,0,3,1,0,0,0,5,5,5
SNUPN,0,0,0,0,4,0,0,1,0,5,5,5
SNX13,0,0,0,0,5,0,0,0,0,5,5,5
SNX29,1,0,0,0,4,0,0,0,0,5,5,5
SNX7,0,0,0,0,5,0,0,0,0,5,5,5
SOBP,0,0,0,0,4,1,0,0,0,5,5,5
SOCS4,0,0,0,0,4,1,0,0,0,5,5,5
SOCS6,0,0,0,0,5,0,0,0,0,5,5,5
SOGA3,0,0,0,0,4,1,0,0,0,5,5,5
SP1,0,0,0,0,5,0,0,0,0,5,5,5
SPACA1,1,0,0,0,3,1,0,0,0,5,5,5
SPAG6,0,0,0,0,5,0,0,0,0,5,5,5
SPANXN2,0,0,0,0,5,0,0,0,0,5,5,5
SPAST,0,0,0,0,4,1,0,0,0,5,5,5
SPATA2,0,0,0,0,4,1,0,0,0,5,5,5
SPATA31A3,0,1,0,0,3,1,0,0,0,5,5,5
SPON1,0,0,0,0,5,0,0,0,0,5,5,5
SPRED1,0,0,0,0,4,1,0,0,0,5,5,5
SPTLC2,0,0,0,0,5,0,0,0,0,5,5,5
SRGAP3,0,0,0,0,5,0,0,0,0,5,5,5
SRPK1,0,0,0,0,5,0,0,0,0,5,5,5
SRRM1,0,0,0,0,5,0,0,0,0,5,5,5
SS18,0,0,0,0,5,0,0,0,0,5,5,5
ST3GAL3,0,0,0,0,5,0,0,0,0,5,5,5
ST6GALNAC1,0,0,0,0,4,1,0,0,0,5,5,5
STAMBPL1,0,0,0,0,4,0,0,1,0,5,5,5
STARD7,0,0,0,0,5,0,0,0,0,5,5,5
STON2,1,0,0,0,4,0,0,0,0,5,5,5
SULF1,0,0,0,0,5,0,0,0,0,5,5,5
SUSD5,0,1,0,0,4,0,0,0,0,5,5,5
SYDE2,1,0,0,0,4,0,0,0,0,5,5,5
SYT9,0,0,0,0,5,0,0,0,0,5,5,5
TAF3,2,0,0,0,2,1,0,0,0,5,5,5
TAF5,1,0,0,0,3,1,0,0,0,5,5,5
TANGO6,1,0,1,0,3,0,0,0,0,5,5,5
TARBP2,1,1,0,0,2,1,0,0,0,5,5,5
TAS2R10,1,0,0,0,3,1,0,0,0,5,5,5
TBATA,0,0,0,0,5,0,0,0,0,5,5,5
TBC1D1,1,0,0,0,3,1,0,0,0,5,5,5
TBC1D12,0,0,0,0,5,0,0,0,0,5,5,5
TBC1D17,1,0,0,0,4,0,0,0,0,5,5,5
TBC1D21,0,0,0,0,4,1,0,0,0,5,5,5
TBC1D23,1,0,0,0,4,0,0,0,0,5,5,5
TBC1D2B,1,0,0,0,4,0,0,0,0,5,5,5
TBCD,0,0,0,0,5,0,0,0,0,5,5,5
TBCE,0,0,0,0,5,0,0,0,0,5,5,5
TBX19,0,0,0,0,2,2,0,1,0,5,5,5
TBX20,0,0,0,0,4,0,0,1,0,5,5,5
TBXAS1,0,0,0,0,5,0,0,0,0,5,5,5
TCF7L2,0,0,0,0,5,0,0,0,0,5,5,5
TDRKH,0,0,0,0,5,0,0,0,0,5,5,5
TEKT5,0,0,0,0,5,0,0,0,0,5,5,5
TERT,0,0,0,0,3,1,0,1,0,5,5,5
TFAP4,0,0,0,0,5,0,0,0,0,5,5,5
TFIP11,0,0,0,0,4,0,0,1,0,5,5,5
TGFBR2,0,0,0,0,4,1,0,0,0,5,5,5
TGFBRAP1,0,0,0,0,5,0,0,0,0,5,5,5
THAP5,1,0,0,0,4,0,0,0,0,5,5,5
THBS4,0,0,0,0,5,0,0,0,0,5,5,5
THNSL1,0,0,0,0,4,1,0,0,0,5,5,5
TIA1,1,0,0,0,4,0,0,0,0,5,5,5
TIGAR,0,0,0,0,5,0,0,0,0,5,5,5
TIGD2,1,0,0,0,4,0,0,0,0,5,5,5
TJP3,0,0,0,0,5,0,0,0,0,5,5,5
TKFC,0,0,1,0,4,0,0,0,0,5,5,5
TLE3,0,0,1,0,4,0,0,0,0,5,5,5
TLE6,0,0,0,0,3,2,0,0,0,5,5,5
TLR5,0,1,0,0,4,0,0,0,0,5,5,5
TM7SF3,0,0,0,0,4,1,0,0,0,5,5,5
