Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,total,MutatedSamples,AlteredSamples
UNC13C,1,1,2,0,18,3,0,0,0,25,22,22
F8,1,2,0,0,18,3,0,0,0,24,22,22
CBFB,3,1,0,0,12,5,0,1,1,23,22,22
HYDIN,0,0,0,0,20,2,0,1,0,23,22,22
MED12,1,1,1,1,15,4,0,0,0,23,22,22
PREX2,0,0,0,0,23,0,0,0,0,23,22,22
USP34,0,0,0,0,19,1,0,3,0,23,22,22
USP9X,2,2,0,0,16,3,0,0,0,23,22,22
CHD6,0,0,1,0,16,4,0,1,0,22,22,22
PDZD2,0,0,0,0,20,0,0,2,0,22,22,22
BAZ2B,2,0,0,0,22,2,0,0,0,26,21,21
SCN10A,1,0,0,0,22,2,0,0,0,25,21,21
ADGRG4,1,1,0,0,22,0,0,0,0,24,21,21
CENPE,0,0,0,0,22,2,0,0,0,24,21,21
DNAH5,0,0,0,0,20,2,0,2,0,24,21,21
NIPBL,2,3,0,0,15,4,0,0,0,24,21,21
PKHD1,0,1,0,0,17,2,0,3,0,23,21,21
RP1,0,1,1,0,17,4,0,0,0,23,21,21
SRCAP,3,1,0,0,16,3,0,0,0,23,21,21
UBR4,1,0,0,0,19,1,0,2,0,23,21,21
ATM,1,1,0,0,13,5,0,2,0,22,21,21
NOTCH2,2,1,0,0,17,2,0,0,0,22,21,21
RB1,2,2,0,0,5,11,0,2,0,22,21,21
TG,0,0,1,0,20,1,0,0,0,22,21,21
ASXL3,3,0,0,0,18,0,0,0,0,21,21,21
GRIN2A,3,1,0,0,15,2,0,0,0,21,21,21
DNAH10,3,0,0,0,22,2,0,0,0,27,20,20
ZDBF2,2,0,0,0,22,2,0,0,0,26,20,20
DNAH7,2,1,0,0,15,5,0,1,0,24,20,20
TCHH,0,0,1,0,22,1,0,0,0,24,20,20
VPS13D,0,0,0,0,19,2,0,2,0,23,20,20
AFF2,0,0,0,0,20,1,0,1,0,22,20,20
BRWD1,1,1,0,0,17,3,0,0,0,22,20,20
CREBBP,1,2,0,0,18,1,0,0,0,22,20,20
DNAH2,1,0,0,0,20,0,0,1,0,22,20,20
ERBB2,0,0,0,1,21,0,0,0,0,22,20,20
FAT4,1,0,0,0,19,2,0,0,0,22,20,20
HIVEP1,0,0,0,0,17,4,0,1,0,22,20,20
DNAH3,0,0,0,0,20,0,0,1,0,21,20,20
FLG2,0,0,0,0,19,2,0,0,0,21,20,20
PCNT,0,0,0,0,20,1,0,0,0,21,20,20
TLN1,1,0,0,0,17,3,0,0,0,21,20,20
TPR,0,0,0,0,20,0,0,1,0,21,20,20
ATP10B,1,0,0,0,17,2,0,0,0,20,20,20
KIF4A,0,0,0,0,16,3,0,1,0,20,20,20
NCOA6,1,0,0,0,15,4,0,0,0,20,20,20
NEXMIF,1,0,0,0,19,0,0,0,0,20,20,20
NRXN2,1,6,0,0,13,0,0,0,0,20,20,20
PIWIL1,0,1,0,0,16,3,0,0,0,20,20,20
UBR5,1,0,0,0,19,0,0,0,0,20,20,20
FAT2,1,0,1,1,19,2,0,0,0,24,19,19
ASH1L,4,0,1,0,14,3,0,1,0,23,19,19
ZNF292,3,0,0,0,17,3,0,0,0,23,19,19
DCHS1,0,0,0,0,22,0,0,0,0,22,19,19
TRPM6,1,0,0,0,19,2,0,0,0,22,19,19
FBN1,0,0,0,0,20,1,0,0,0,21,19,19
FRAS1,1,0,0,0,19,1,0,0,0,21,19,19
LAMA2,1,0,0,0,19,1,0,0,0,21,19,19
PEG3,0,1,0,0,19,1,0,0,0,21,19,19
KDM6A,3,2,0,0,9,1,0,5,0,20,19,19
CHD7,0,0,1,0,17,1,0,0,0,19,19,19
CTCF,2,0,0,0,11,4,0,2,0,19,19,19
LAMA1,0,0,0,0,18,1,0,0,0,19,19,19
MAP2,0,0,0,0,16,3,0,0,0,19,19,19
MEGF8,2,0,1,0,13,3,0,0,0,19,19,19
MUC4,1,0,0,0,17,1,0,0,0,19,19,19
MYH8,0,0,0,0,19,0,0,0,0,19,19,19
MYO18B,3,0,0,0,16,0,0,0,0,19,19,19
COL14A1,1,0,0,0,22,2,0,2,0,27,18,18
DMXL2,1,0,0,0,21,2,0,0,0,24,18,18
ICE1,2,0,1,0,16,3,0,0,0,22,18,18
SMG1,1,1,0,0,15,5,0,0,0,22,18,18
DMXL1,2,0,0,0,15,3,0,1,0,21,18,18
OTOGL,0,0,0,0,20,1,0,0,0,21,18,18
PCDH15,0,1,0,0,19,1,0,0,0,21,18,18
CAD,1,0,0,0,17,1,0,1,0,20,18,18
ERBB3,0,0,0,0,20,0,0,0,0,20,18,18
RANBP2,1,0,0,0,17,2,0,0,0,20,18,18
SCN2A,2,0,0,0,18,0,0,0,0,20,18,18
CACNA1A,1,0,0,0,16,2,0,0,0,19,18,18
CPS1,0,0,0,0,18,0,0,1,0,19,18,18
FAM47C,1,0,0,0,17,1,0,0,0,19,18,18
FREM2,1,0,0,0,18,0,0,0,0,19,18,18
FRMPD4,1,0,0,0,17,1,0,0,0,19,18,18
MROH2B,0,0,0,0,18,1,0,0,0,19,18,18
MYO10,1,1,0,0,16,1,0,0,0,19,18,18
MYO16,0,0,1,0,17,1,0,0,0,19,18,18
SI,2,0,0,0,16,1,0,0,0,19,18,18
TENM2,0,0,0,0,18,1,0,0,0,19,18,18
ARID1B,2,0,0,0,15,1,0,0,0,18,18,18
PHKA2,1,0,0,0,14,0,0,3,0,18,18,18
GOLGB1,0,0,0,0,20,3,0,0,0,23,17,17
BSN,0,0,0,0,17,4,0,0,0,21,17,17
MGA,1,0,0,0,15,4,0,0,0,20,17,17
REV3L,0,0,0,0,18,2,0,0,0,20,17,17
ABCA8,1,0,0,0,16,0,0,2,0,19,17,17
ALMS1,0,0,0,0,18,1,0,0,0,19,17,17
CNTNAP5,0,0,0,0,19,0,0,0,0,19,17,17
LRRK2,2,1,0,0,12,3,0,1,0,19,17,17
SVIL,1,0,0,0,15,1,0,2,0,19,17,17
TAF1L,0,1,0,0,17,1,0,0,0,19,17,17
AHNAK2,1,0,0,0,16,1,0,0,0,18,17,17
ATAD2B,1,0,0,0,11,5,0,1,0,18,17,17
FER1L6,0,0,0,0,14,1,0,3,0,18,17,17
FLNC,2,1,0,0,14,1,0,0,0,18,17,17
FREM1,0,0,1,0,17,0,0,0,0,18,17,17
HECW1,1,0,0,0,16,1,0,0,0,18,17,17
HRNR,0,0,0,0,16,2,0,0,0,18,17,17
KCNT2,0,0,0,0,11,5,0,2,0,18,17,17
LCT,1,0,0,0,16,1,0,0,0,18,17,17
PLXNA2,0,0,0,0,18,0,0,0,0,18,17,17
THSD7A,0,0,0,0,17,1,0,0,0,18,17,17
UGGT2,1,0,0,0,13,3,0,1,0,18,17,17
ANKRD17,0,0,0,0,16,1,0,0,0,17,17,17
CACNA1F,0,0,0,0,15,1,0,1,0,17,17,17
CEP170,1,0,1,0,15,0,0,0,0,17,17,17
COL6A3,0,0,0,0,13,2,0,2,0,17,17,17
HTT,0,0,0,0,16,1,0,0,0,17,17,17
MTOR,0,0,0,0,16,1,0,0,0,17,17,17
ROS1,0,0,0,0,13,2,0,2,0,17,17,17
SEMA3D,1,0,0,0,13,3,0,0,0,17,17,17
SPTB,1,0,0,0,15,0,0,1,0,17,17,17
THSD7B,0,0,0,0,15,2,0,0,0,17,17,17
TNRC6B,2,0,0,0,12,3,0,0,0,17,17,17
UNC5D,1,0,0,0,13,2,0,1,0,17,17,17
CENPF,2,0,1,0,15,1,0,1,0,20,16,16
DSP,1,0,0,0,17,2,0,0,0,20,16,16
HELZ,2,0,0,0,12,5,0,1,0,20,16,16
WNK3,0,0,0,0,16,4,0,0,0,20,16,16
KIAA1210,0,0,0,0,18,1,0,0,0,19,16,16
MRC1,1,0,0,0,14,3,0,0,0,18,16,16
PHF3,1,1,0,0,14,2,0,0,0,18,16,16
PKD1L1,0,0,0,0,17,1,0,0,0,18,16,16
QSER1,0,1,0,0,17,0,0,0,0,18,16,16
SCN1A,0,0,0,0,17,0,0,1,0,18,16,16
SETD2,2,1,0,0,12,3,0,0,0,18,16,16
TASOR2,0,0,1,0,14,3,0,0,0,18,16,16
TNXB,0,0,0,0,18,0,0,0,0,18,16,16
VCAN,1,0,0,0,15,1,0,1,0,18,16,16
CNOT1,2,0,1,0,10,3,0,1,0,17,16,16
COL22A1,0,0,0,0,13,1,0,3,0,17,16,16
DNAH1,1,0,0,0,16,0,0,0,0,17,16,16
EPG5,2,0,0,0,12,3,0,0,0,17,16,16
GCC2,2,1,0,0,11,3,0,0,0,17,16,16
GRIA3,0,0,0,0,14,1,0,2,0,17,16,16
KIF16B,0,0,0,0,15,1,0,1,0,17,16,16
LRBA,0,0,0,0,16,1,0,0,0,17,16,16
PCDH19,1,0,0,0,16,0,0,0,0,17,16,16
PCNX2,0,0,0,0,14,3,0,0,0,17,16,16
RAD54B,0,0,0,0,14,3,0,0,0,17,16,16
SDK1,1,0,0,0,16,0,0,0,0,17,16,16
ZP4,0,0,0,0,15,2,0,0,0,17,16,16
ABCA12,2,0,0,0,13,0,0,1,0,16,16,16
ASTN1,0,1,0,0,13,1,0,1,0,16,16,16
CIT,0,0,0,0,16,0,0,0,0,16,16,16
COL6A6,1,0,0,0,15,0,0,0,0,16,16,16
FLNB,4,1,1,1,9,0,0,0,0,16,16,16
HCFC1,0,0,0,0,15,0,0,1,0,16,16,16
ITPR2,0,0,0,0,15,0,0,1,0,16,16,16
KMT2E,0,1,0,0,13,2,0,0,0,16,16,16
MIA2,0,0,0,0,14,2,0,0,0,16,16,16
MYH14,1,0,0,0,14,1,0,0,0,16,16,16
MYO7B,0,0,0,0,13,3,0,0,0,16,16,16
NAV3,0,0,0,0,12,4,0,0,0,16,16,16
NCKAP5,0,0,0,0,13,3,0,0,0,16,16,16
RAPGEF6,0,0,0,0,13,3,0,0,0,16,16,16
SPTBN2,0,0,0,0,15,1,0,0,0,16,16,16
TBC1D4,2,0,0,0,11,3,0,0,0,16,16,16
ZAN,2,0,0,0,13,1,0,0,0,16,16,16
ZNF536,1,1,0,0,13,1,0,0,0,16,16,16
SETX,0,0,1,0,18,1,0,1,0,21,15,15
JMJD1C,0,1,0,0,13,6,0,0,0,20,15,15
SHROOM2,0,1,0,0,18,0,0,0,0,19,15,15
TACC2,1,0,0,0,18,0,0,0,0,19,15,15
ANKRD11,2,1,0,0,13,2,0,0,0,18,15,15
BOD1L1,0,0,0,0,16,2,0,0,0,18,15,15
DOCK10,2,1,0,0,15,0,0,0,0,18,15,15
PLCB4,2,1,1,0,13,0,0,1,0,18,15,15
RLF,1,1,0,0,13,3,0,0,0,18,15,15
VPS13A,2,0,0,0,15,1,0,0,0,18,15,15
AFDN,0,0,1,0,12,3,0,1,0,17,15,15
ARFGEF1,0,0,0,0,15,2,0,0,0,17,15,15
ATP7A,0,0,0,1,15,1,0,0,0,17,15,15
CSPP1,1,0,0,0,14,1,0,1,0,17,15,15
DNAJC13,0,0,0,1,13,2,0,1,0,17,15,15
NIN,0,1,0,0,12,3,0,1,0,17,15,15
PLCH1,1,0,0,0,14,2,0,0,0,17,15,15
RIMS2,1,0,0,0,14,2,0,0,0,17,15,15
SPAG17,1,0,0,0,14,2,0,0,0,17,15,15
